Player_Name,Hard_mean,Clay_mean,Grass_mean,Hard_variance,Clay_variance,Grass_variance,Player_age
Abdulhameed Alshatti,24.99999770847881,24.999998166783044,24.999998166783044,8.333299999989645,8.333299999993814,8.333299999993814,27.6
Abdulhamid Mubarak,24.99999096205913,24.999988702573912,24.99999096205913,8.33324465473802,8.333230818422528,8.33324465473802,28.8
Abdullah Maqdas,24.99995417124101,24.999963296653714,24.99996331906432,8.333526258119425,8.33348929628154,8.333484690650755,37.8
Abdulrahman Alawadhi,24.999992647779717,24.999990809724643,24.999992647779717,8.33337547087397,8.333394338592461,8.33337547087397,31.0
Abedallah Shelbayh,25.0,25.0,25.0,8.3333,8.3333,8.3333,19.4
Adam Hornby,24.999955789999056,24.999957616378527,24.999961513945596,8.332994110954095,8.33299415833275,8.333028119378948,27.6
Adam Moundir,25.000331746328538,25.000414682910673,25.000331746328538,8.341492618452,8.343541244260837,8.341492618452,30.9
Adam Pavlasek,24.99957550749672,24.999675336469526,24.999656908052103,8.328598360374766,8.327562227050482,8.328180601708294,28.6
Aditya Hari Sasongko,24.99996091943429,24.999959063729328,24.99996443696161,8.333006624512532,8.332970074824308,8.333022977324609,36.5
Adolfo Daniel Vallejo,24.999032126014196,24.998790157517746,24.999032126014196,8.351627204475234,8.356208941862327,8.351627204475234,20.3
Adrian Andreev,24.98682382828434,24.98945906262747,24.98945906262747,8.69720690926896,8.623447608333917,8.623447608333917,21.6
Adrian Bodmer,24.999833014229477,24.999866411383582,24.999866411383582,8.333243057688176,8.333254459138612,8.333254459138612,27.9
Adrian Mannarino,24.97447980213525,24.92418560714399,24.95723723813776,6.198086886973888,6.558655488174423,6.543859985333906,34.7
Adrian Menendez Maceiras,24.997499510664966,24.99782710376505,24.997923937337816,8.351566302584633,8.35666116982044,8.35191398879098,37.4
Adrian Ungur,24.999851676115433,24.999782068224484,24.99983721970663,8.334343841200587,8.334306659905044,8.334211338768402,38.6
Adrien Bossel,24.99994870791653,24.99995289153934,24.999951989024193,8.33327864793121,8.333336976817318,8.33334323129525,36.0
Agustin Velotti,24.999902234075797,24.99987779259475,24.999902234075797,8.33450879035616,8.334810998211351,8.33450879035616,30.7
Ainius Sabaliauskas,25.007687456888004,25.006149965510403,25.006149965510403,8.403448576948565,8.389417803528934,8.389417803528934,20.1
Aisam Ul Haq Qureshi,25.00410481422358,25.004099362981705,25.005115940731695,8.372052295904037,8.372106870248382,8.381877015990508,43.4
Aissa Benchakroun,25.00049615374741,25.00062019218426,25.00049615374741,8.339447169433253,8.340983961791569,8.339447169433253,20.9
Ajeet Rai,24.9939138941933,24.99513111535464,24.99513111535464,8.412887031775721,8.396955624278924,8.396955624278924,27.6
Akira Santillan,24.999569196745174,24.99959300417146,24.999621004474896,8.333661852066415,8.33349557906192,8.333722403513631,26.1
Alan Fernando Rubio Fierros,24.9943160019856,24.992895002481998,24.9943160019856,8.388072343764366,8.401765429705456,8.388072343764366,24.6
Alastair Gray,24.990393302627698,24.990393302627698,24.987991628284625,7.517567692660269,7.517567692660269,7.319841815427111,25.0
Albano Olivetti,24.999915609041825,24.99991334537953,24.999896288588097,8.333105439509197,8.333108784580391,8.333053454296529,33.5
Albert Montanes,24.99987293741611,24.999871861765442,24.999864170160937,8.331616496215805,8.331219321778132,8.331714208934462,42.4
Albert Ramos,24.844280054432993,24.930750061283597,24.871652685679187,5.151662688455579,5.193651137049827,5.321140124680238,35.2
Alberto Emmanuel Alvarado Larin,24.998854559976508,24.999083647981205,24.999083647981205,8.323833859205045,8.325726796582371,8.325726796582371,28.2
Alberto Lim,24.99907741323055,24.99890548835815,24.999103511817204,8.327417107008934,8.326040689429716,8.327459065465721,25.7
Aldin Setkic,24.999903008020887,24.99991317292544,24.99991830264281,8.333960026853863,8.3338189637614,8.333823996559031,35.8
Alejandro Davidovich Fokina,24.867089467724668,24.9221943570191,24.887835849520602,6.246644306086176,6.606947362738314,6.860832755746947,23.8
Alejandro Falla,24.999855429300588,24.999849651418256,24.999861640785024,8.333405955237506,8.333648654759154,8.333498016313104,39.2
Alejandro Gomez Gb42,25.000004257320366,25.000003405856294,25.000003405856294,8.33350097594492,8.333460780574176,8.333460780574176,31.9
Alejandro Gonzalez,24.993546398477026,24.994873411610925,24.994849715437827,8.266593207425052,8.278487375364374,8.279256615871509,37.0
Alejandro Mendoza,24.99994210783087,24.999927634788587,24.99994210783087,8.33261887502632,8.332448593782901,8.33261887502632,32.9
Alejandro Tabilo,24.96557214471499,25.00601644694749,24.967617478844634,7.016813153862376,7.2369719704196696,7.025804010411117,25.7
Aleksandar Kovacevic,25.04865616862833,25.038924934902663,25.038924934902663,8.458801433949734,8.435629541229575,8.435629541229575,24.5
Aleksandar Vukic,25.000101526684613,24.99663580171434,24.996311020276323,8.579716696736899,8.534885714972269,8.51268118409728,26.9
Aleksandr Nedovyesov,24.99983782292858,24.99984566307124,24.99984873296108,8.332617298233416,8.332689936348428,8.332632747984272,38.1
Aleksandre Bakshi,24.973745795329567,24.978996636263652,24.978996636263652,8.425312625418995,8.406910100335198,8.406910100335198,25.4
Aleksandre Metreveli,24.91692867684961,24.933539862272298,24.933541572943067,8.217024465816463,8.240955450834923,8.241326884340292,31.3
Alen Avidzba,24.999806041204057,24.999844832963245,24.999844832963245,8.353772306963355,8.349675836276292,8.349675836276292,23.6
Alessandro Bega,24.999887649544057,24.999910119635242,24.999910119635242,8.334282380784142,8.334085904627313,8.334085904627313,32.5
Alessandro Giannessi,24.947325570069285,24.934408785025415,24.9474374911532,7.94208209789629,7.844780241886591,7.94188286572996,34.8
Alex Bogomolov Jr,24.999982991578474,24.999984995358897,24.999985771972163,8.333245922738673,8.33325372780871,8.33325540029798,39.9
Alex Bolt,24.902539580503948,24.920763961231653,24.919179332267273,7.546061589946276,7.687846197125961,7.672182302764507,30.6
Alex De Minaur,25.550108544252108,25.473836989385404,25.500422632384666,2.463951068430015,2.7799168168331883,2.8186855481888906,24.1
Alex Diaz,24.999920711185073,24.99993656894806,24.99993656894806,8.334031979786658,8.333885585694084,8.333885585694084,28.4
Alex Fairbanks,24.999942836969804,24.999928546212253,24.999942836969804,8.332618882473433,8.332448603091793,8.332618882473433,26.9
Alex Knaff,24.999981306042354,24.999983955615388,24.999984560736777,8.333098780912092,8.333127719753369,8.333134000166298,25.7
