Player_Name,Hard_mean,Clay_mean,Grass_mean,Hard_variance,Clay_variance,Grass_variance,Player_age
Abdulhameed Alshatti,24.99999489044719,24.999995912357754,24.999995912357754,8.3332999999351,8.333299999960772,8.333299999960772,27.6
Abdulhamid Mubarak,24.999987541470194,24.99998442683774,24.999987541470194,8.333178416448963,8.333148020561202,8.333178416448963,28.8
Abdullah Maqdas,24.99989950559234,24.999920014872895,24.999919786873438,8.333581981466454,8.333544036903916,8.333533786680821,37.8
Abdulrahman Alawadhi,24.9999859317795,24.999982414724368,24.9999859317795,8.333451979626442,8.333489974533054,8.333451979626442,31.0
Abedallah Shelbayh,25.0,25.0,25.0,8.3333,8.3333,8.3333,19.4
Adam Hornby,24.999924589050334,24.999928845372377,24.999934859743423,8.332884704869526,8.332858340791237,8.33291913083895,27.6
Adam Moundir,25.000566275864994,25.000707844831247,25.000566275864994,8.344648053008683,8.34748601453398,8.344648053008683,30.9
Adam Pavlasek,24.999334544547178,24.999563439044334,24.99948383710679,8.328230986728526,8.327054062932772,8.327239557724258,28.6
Aditya Hari Sasongko,24.999930377548942,24.99992930593859,24.99993763710557,8.332812486049155,8.332748872723718,8.332838380754291,36.5
Adolfo Daniel Vallejo,24.998822358078385,24.99852794759798,24.998822358078385,8.356679702317601,8.362524353442158,8.356679702317601,20.3
Adrian Andreev,24.980575509181147,24.984460407344915,24.984460407344915,8.761115937005899,8.674185545847026,8.674185545847026,21.6
Adrian Bodmer,24.999722206461787,24.99977776516943,24.99977776516943,8.333486671383817,8.333449364842549,8.333449364842549,27.9
Adrian Mannarino,25.012128434858692,24.953169323075777,24.993426975700263,5.7025673059122735,6.153833032308898,6.169075533075733,34.7
Adrian Menendez Maceiras,24.996023447146626,24.996435233022474,24.996645335068855,8.356778944843928,8.364230081103669,8.357788637890112,37.4
Adrian Ungur,24.99973435688018,24.999617236544285,24.999711819299762,8.334599363085797,8.334397728773846,8.33436540259329,38.6
Adrien Bossel,24.9999035883023,24.999911105273714,24.999908111289116,8.333414918141312,8.333484175540763,8.333476001291833,36.0
Agustin Velotti,24.99978456105902,24.999730701323774,24.99978456105902,8.335560401206077,8.336125539174795,8.335560401206077,30.7
Ainius Sabaliauskas,25.00805846480355,25.006446771842842,25.006446771842842,8.411072913039078,8.395516678063963,8.395516678063963,20.1
Aisam Ul Haq Qureshi,25.00572811961407,25.005718941900433,25.007133603576015,8.370720347696745,8.370820170862721,8.380311112688913,43.4
Aissa Benchakroun,25.000727093279995,25.000908866599996,25.000727093279995,8.341597809362094,8.343672261702617,8.341597809362094,20.9
Ajeet Rai,24.992888964194368,24.99431117135549,24.99431117135549,8.419025482380516,8.401860162380128,8.401860162380128,27.6
Akira Santillan,24.999221336325583,24.99927462778856,24.999318312810615,8.332849946940078,8.332519475603855,8.332753024090767,26.1
Alan Fernando Rubio Fierros,24.992505419997606,24.990631774997006,24.992505419997606,8.393442488647505,8.40847811080938,8.393442488647505,24.6
Alastair Gray,24.988969284209883,24.988969284209883,24.98621160526235,7.4242286979639305,7.4242286979639305,7.20504160718842,25.0
Albano Olivetti,24.999844184847053,24.99984046490236,24.999809817965197,8.33271220135253,8.332703975817294,8.332582394167018,33.5
Albert Montanes,24.999712673393503,24.99970864961726,24.999697056533556,8.328816705708203,8.32777288111051,8.329026324763607,42.4
