Player_Name,Hard_mean,Clay_mean,Grass_mean,Hard_variance,Clay_variance,Grass_variance,Player_age
Abdulhameed Alshatti,24.999915597025733,24.999932477620586,24.999932477620586,8.33329998618954,8.333299991761605,8.333299991761605,27.6
Abdulhamid Mubarak,24.999891887978162,24.999864859972707,24.999891887978162,8.332555358059572,8.332369197574467,8.332555358059572,28.8
Abdullah Maqdas,24.999449781474137,24.999560369202626,24.999560066967447,8.33700239672521,8.33642829184303,8.33633583390648,37.8
Abdulrahman Alawadhi,24.999892118764244,24.999865148455303,24.999892118764244,8.334541085202313,8.33485135650289,8.334541085202313,31.0
Abedallah Shelbayh,25.0,25.0,25.0,8.3333,8.3333,8.3333,19.4
Adam Hornby,24.999420173539516,24.99943962986257,24.999493245956483,8.32968872721618,8.329629264358328,8.33006350019426,27.6
Adam Moundir,25.000974322069634,25.001217902587044,25.000974322069634,8.363797447918092,8.371429513009703,8.363797447918092,30.9
Adam Pavlasek,24.99394243074471,24.99507717392711,24.994852778635224,8.289042746382467,8.284851144431242,8.285956865960003,28.6
Aditya Hari Sasongko,24.999459361658783,24.999447000267814,24.999513938634042,8.330577023414213,8.330072014528596,8.330655111063573,36.5
Adolfo Daniel Vallejo,24.998290965392737,24.99786370674092,24.998290965392737,8.368195591680477,8.376907493122893,8.368195591680477,20.3
Adrian Andreev,24.960433391033,24.9683467128264,24.9683467128264,8.928650575980173,8.807605903357711,8.807605903357711,21.6
Adrian Bodmer,24.998792417457498,24.999033933966,24.999033933966,8.333283841360792,8.333287730067141,8.333287730067141,27.9
Adrian Mannarino,25.041118406896025,24.924039085892606,24.999057407064356,4.31746291858481,4.726114713340603,4.791948134615804,34.7
Adrian Menendez Maceiras,24.982286522187053,24.983128310750264,24.984653239172097,8.437083344208904,8.457940547767395,8.436649470961871,37.4
Adrian Ungur,24.997979717342204,24.997387252882504,24.997940875655427,8.338782879652735,8.338281959775076,8.337952648266558,38.6
Adrien Bossel,24.99931478072785,24.99935583849201,24.99933861313722,8.334216707455926,8.334953027238708,8.33509467475169,36.0
Agustin Velotti,24.99860613812158,24.998257672651974,24.99860613812158,8.348257670729767,8.351998947055812,8.348257670729767,30.7
Ainius Sabaliauskas,25.010164261971514,25.008131409577214,25.008131409577214,8.440568125674247,8.419107005827078,8.419107005827078,20.1
Aisam Ul Haq Qureshi,25.008792310047102,25.008745330027413,25.010817762620277,8.376280253328586,8.376928448889094,8.388534975504319,43.4
Aissa Benchakroun,25.001566483011853,25.001958103764817,25.001566483011853,8.35370926232641,8.358811577908012,8.35370926232641,20.9
Ajeet Rai,24.99075958148011,24.99260766518409,24.99260766518409,8.46829974549893,8.441222852163964,8.441222852163964,27.6
Akira Santillan,24.99615098266163,24.996243831972052,24.996573806735547,8.334648447204918,8.33231181427191,8.332734588093325,26.1
Alan Fernando Rubio Fierros,24.988893961838315,24.986117452297893,24.988893961838315,8.413385956535189,8.433407445668987,8.413385956535189,24.6
Alastair Gray,24.98712940662328,24.98712940662328,24.983911758279095,7.227095809897283,7.227095809897283,6.963235465955685,25.0
Albano Olivetti,24.998887347842757,24.998838233704458,24.998667488710392,8.328705611641654,8.328930031938038,8.328061894081566,33.5
Albert Montanes,24.99693795352221,24.996920651632312,24.996846150405727,8.289973370857162,8.280549340271948,8.29248612265353,42.4
Albert Ramos,24.761202111751846,24.930792331033377,24.8048775757463,3.4060467216538113,3.5312484662526615,3.6538931306181244,35.2
Alberto Emmanuel Alvarado Larin,24.99438060429375,24.995504483435003,24.995504483435003,8.292620777909947,8.30074745466207,8.30074745466207,28.2
Alberto Lim,24.99689910854898,24.996666859852347,24.997140430400588,8.31333796431324,8.31072910482173,8.314397730096365,25.7
Aldin Setkic,24.998505924125546,24.998572478038035,24.998701512072703,8.34313082005721,8.340717817722567,8.340966193496095,35.8
Alejandro Davidovich Fokina,25.009476478982855,25.102324708137974,25.033335271065514,3.809063802250257,4.276216020695918,4.621590045575905,23.8
Alejandro Falla,24.996529245574273,24.996591065746436,24.996682897515157,8.320230877720347,8.325142188896624,8.323214957203126,39.2
Alejandro Gomez Gb42,24.999900040597463,24.99992003247797,24.99992003247797,8.338435674531315,8.337408418124584,8.337408418124584,31.9
Alejandro Gonzalez,24.98802337855064,24.989873462409438,24.990032456814827,8.192619773333886,8.2070450019911,8.21366502091745,37.0
Alejandro Mendoza,24.999565135945154,24.99945641993144,24.999565135945154,8.32826718892086,8.327008986151075,8.32826718892086,32.9
Alejandro Tabilo,24.995736472186998,25.046088958850056,24.999465404870616,6.0078898631176685,6.289070550258938,6.195482707473382,25.7
Aleksandar Kovacevic,25.081431034006737,25.06514482720539,25.06514482720539,8.541047395803421,8.50176407359618,8.50176407359618,24.5
Aleksandar Vukic,24.906583304278186,24.91356205833349,24.913993497235502,8.2869211919415,8.342514882863268,8.28090613531595,26.9
Aleksandr Nedovyesov,24.996012799675267,24.996307443571617,24.99630700975615,8.311602282660912,8.313135115193015,8.31188760446261,38.1
Aleksandre Bakshi,24.964114188250523,24.97129135060042,24.97129135060042,8.577487020544043,8.528649616435233,8.528649616435233,25.4
Aleksandre Metreveli,24.862805449117285,24.89023992556186,24.890242388746287,8.489590942158435,8.459333105798764,8.460693463280668,31.3
Alen Avidzba,24.99912764112336,24.999302112898686,24.999302112898686,8.434893734912256,8.414525745267664,8.414525745267664,23.6
Alessandro Bega,24.998521577376998,24.998817261901596,24.998817261901596,8.345777931810936,8.343282345448749,8.343282345448749,32.5
Alessandro Giannessi,24.88048427536453,24.853421764139203,24.881736017557213,7.6889125891187495,7.529628750013955,7.688778674107612,34.8
Alex Bogomolov Jr,24.999312073302683,24.999398974422594,24.999427132322346,8.331891565232914,8.331953068221003,8.332075477856776,39.9
Alex Bolt,24.85389551640012,24.87738107103247,24.87021189342294,6.364054856469683,6.6951576748437365,6.663430790048641,30.6
Alex De Minaur,25.93932931959144,25.789196164454363,25.830130123562437,0.7970033482627489,1.067329770799325,1.0803887898045583,24.1
Alex Diaz,24.999376816095694,24.999501452876554,24.999501452876554,8.336910189211277,8.336188429741448,8.336188429741448,28.4
Alex Fairbanks,24.999447534675987,24.999309418344982,24.999447534675987,8.328603338880752,8.32742917360094,8.328603338880752,26.9
Alex Knaff,24.999642758505725,24.999691458756125,24.999704096560823,8.330098552070401,8.33046151138987,8.330615549651629,25.7
Alex Kuznetsov,24.998031651041142,24.998249031887596,24.998028670705946,8.335916869522514,8.335170425928771,8.334891282778,38.4
